date,downloads
2022-09-12,217281
2022-09-11,86330
2022-09-10,169646
2022-09-09,284396
2022-09-08,308533
2022-09-07,295332
2022-09-06,232394
2022-09-05,164264
2022-09-04,86411
2022-09-03,241643
2022-09-02,286681
2022-09-01,270348
2022-08-31,265317
2022-08-30,270549
2022-08-29,174923
2022-08-28,86035
2022-08-27,191879
2022-08-26,257371
2022-08-25,288840
2022-08-24,299358
2022-08-23,308758
2022-08-22,183431
2022-08-21,82840
2022-08-20,205946
2022-08-19,263458
2022-08-18,280794
2022-08-17,261177
2022-08-16,267772
2022-08-15,172023
2022-08-14,81255
2022-08-13,185791
2022-08-12,297817
2022-08-11,302605
2022-08-10,313133
2022-08-09,257813
2022-08-08,190273
2022-08-07,88275
2022-08-06,194968
2022-08-05,287732
2022-08-04,304132
2022-08-03,290891
2022-08-02,296435
2022-08-01,195322
2022-07-31,78302
2022-07-30,159712
2022-07-29,307947
2022-07-28,308020
2022-07-27,316049
2022-07-26,306363
2022-07-25,187717
2022-07-24,80399
2022-07-23,205215
2022-07-22,279473
2022-07-21,307281
2022-07-20,309996
2022-07-19,309398
2022-07-18,173634
2022-07-17,70284
2022-07-16,175570
2022-07-15,284920
2022-07-14,324241
2022-07-13,311982
2022-07-12,284582
2022-07-11,162155
2022-07-10,67393
2022-07-09,155830
2022-07-08,272343
2022-07-07,277649
2022-07-06,293318
2022-07-05,219523
2022-07-04,155798
2022-07-03,63600
2022-07-02,180876
2022-07-01,254303
2022-06-30,290575
2022-06-29,310980
2022-06-28,278472
2022-06-27,171104
2022-06-26,79934
2022-06-25,151641
2022-06-24,263228
2022-06-23,284221
2022-06-22,274469
2022-06-21,246994
2022-06-20,151267
2022-06-19,65808
2022-06-18,151368
2022-06-17,283459
2022-06-16,333025
2022-06-15,307443
2022-06-14,287549
2022-06-13,174462
2022-06-12,74771
2022-06-11,216600
2022-06-10,287611
2022-06-09,294104
2022-06-08,289347
2022-06-07,280366
2022-06-06,160457
2022-06-05,70258
2022-06-04,151272
2022-06-03,286205
2022-06-02,298632
2022-06-01,304834
2022-05-31,249208
2022-05-30,190195
2022-05-29,72528
2022-05-28,153406
2022-05-27,265009
2022-05-26,304672
2022-05-25,333596
2022-05-24,310974
2022-05-23,189057
2022-05-22,65754
2022-05-21,162319
2022-05-20,292010
2022-05-19,332950
2022-05-18,373021
2022-05-17,329690
2022-05-16,181056
2022-05-15,69089
2022-05-14,167627
2022-05-13,null
2022-05-11,315805
2022-05-10,321666
2022-05-09,179600
2022-05-08,66460
2022-05-07,155083
2022-05-06,268027
2022-05-05,285327
2022-05-04,278196
2022-05-03,250344
2022-05-02,157723
2022-05-01,74792
2022-04-30,199153
2022-04-29,337160
2022-04-28,354544
2022-04-27,319060
2022-04-26,253067
2022-04-25,157834
2022-04-24,60493
2022-04-23,140492
2022-04-22,245889
2022-04-21,265845
2022-04-20,263478
2022-04-19,233857
2022-04-18,123674
2022-04-17,57213
2022-04-16,105995
2022-04-15,202735
2022-04-14,263574
2022-04-13,325368
2022-04-12,326251
2022-04-11,160712
2022-04-10,62408
2022-04-09,154440
2022-04-08,248347
2022-04-07,272989
2022-04-06,276363
2022-04-05,270525
2022-04-04,176366
2022-04-03,65798
2022-04-02,137890
2022-04-01,255394
2022-03-31,297329
2022-03-30,278288
2022-03-29,275509
2022-03-28,175406
2022-03-27,65904
2022-03-26,129733
2022-03-25,251115
2022-03-24,273029
2022-03-23,288418
2022-03-22,276784
2022-03-21,158648
2022-03-20,65612
2022-03-19,135361
2022-03-18,255813
2022-03-17,279020
2022-03-16,295407
2022-03-15,305365
2022-03-14,196448
2022-03-13,80027
2022-03-12,168541
2022-03-11,291542
2022-03-10,330848
2022-03-09,346699
2022-03-08,282588
2022-03-07,170359
2022-03-06,72431
2022-03-05,155787
2022-03-04,263651
2022-03-03,276680
2022-03-02,270579
2022-03-01,256398
2022-02-28,159890
2022-02-27,67328
2022-02-26,171907
2022-02-25,251321
2022-02-24,278504
2022-02-23,273719
2022-02-22,235245
2022-02-21,164739
2022-02-20,64830
2022-02-19,153167
2022-02-18,254365
2022-02-17,272040
2022-02-16,293825
2022-02-15,316313
2022-02-14,192970
2022-02-13,72171
2022-02-12,184096
2022-02-11,237058
2022-02-10,247453
2022-02-09,260739
2022-02-08,253574
2022-02-07,152083
2022-02-06,68526
2022-02-05,142358
2022-02-04,241544
2022-02-03,250235
2022-02-02,248438
2022-02-01,260158
2022-01-31,147627
2022-01-30,59063
2022-01-29,139841
2022-01-28,243733
2022-01-27,247905
2022-01-26,239770
2022-01-25,259612
2022-01-24,152312
2022-01-23,61478
2022-01-22,138443
2022-01-21,240048
2022-01-20,250732
2022-01-19,249604
2022-01-18,205774
2022-01-17,156609
2022-01-16,62082
2022-01-15,136575
2022-01-14,230118
2022-01-13,257794
2022-01-12,265889
2022-01-11,267699
2022-01-10,149093
2022-01-09,69580
2022-01-08,148655
2022-01-07,233475
2022-01-06,229556
2022-01-05,240231
2022-01-04,193852
2022-01-03,99825
2022-01-02,56490
2022-01-01,63109
2021-12-31,105617
2021-12-30,132239
2021-12-29,138109
2021-12-28,139240
2021-12-27,104796
2021-12-26,55237
2021-12-25,63237
2021-12-24,144237
2021-12-23,197224
2021-12-22,224647
2021-12-21,232097
2021-12-20,155290
2021-12-19,65713
2021-12-18,140555
2021-12-17,251105
2021-12-16,null
2021-12-14,236830
2021-12-13,144567
2021-12-12,65115
2021-12-11,140166
2021-12-10,230557
2021-12-09,239707
2021-12-08,220413
2021-12-07,240707
2021-12-06,140457
2021-12-05,67481
2021-12-04,138453
2021-12-03,237435
2021-12-02,245219
2021-12-01,249317
2021-11-30,229166
2021-11-29,134360
2021-11-28,54062
2021-11-27,92526
2021-11-26,163342
2021-11-25,214936
2021-11-24,225240
2021-11-23,215359
2021-11-22,137233
2021-11-21,61487
2021-11-20,131253
2021-11-19,222591
2021-11-18,236580
2021-11-17,232889
2021-11-16,221885
2021-11-15,148010
2021-11-14,58818
2021-11-13,122014
2021-11-12,204667
2021-11-11,220705
2021-11-10,234200
2021-11-09,239286
2021-11-08,155592
2021-11-07,61552
2021-11-06,126711
2021-11-05,209861
2021-11-04,225399
2021-11-03,213710
2021-11-02,222692
2021-11-01,137605
2021-10-31,63178
2021-10-30,123412
2021-10-29,219295
2021-10-28,239611
2021-10-27,243126
2021-10-26,230019
2021-10-25,150809
2021-10-24,59022
2021-10-23,119238
2021-10-22,213413
2021-10-21,242137
2021-10-20,240548
2021-10-19,234261
2021-10-18,149968
2021-10-17,62213
2021-10-16,113707
2021-10-15,202075
2021-10-14,223810
2021-10-13,241803
2021-10-12,215407
2021-10-11,140851
2021-10-10,56881
2021-10-09,119914
2021-10-08,215432
2021-10-07,235277
2021-10-06,246638
2021-10-05,225571
2021-10-04,141838
2021-10-03,58538
2021-10-02,116442
2021-10-01,204841
2021-09-30,219850
2021-09-29,231036
2021-09-28,243259
2021-09-27,145739
2021-09-26,60030
