pre_release,version,downloads_count
5.1,1.2,112997
5.1,1.11rc1,349
5.1,1.11b1,215
5.1,1.11a1,190
5.1,1.11.9,3339
5.1,1.11.8,3646
5.1,1.11.7,18074
5.1,1.11.6,6695
5.1,1.11.5,9969
5.1,1.11.4,14501
5.1,1.11.3,55350
5.1,1.11.29,572549
5.1,1.11.28,202802
5.1,1.11.27,8338
5.1,1.11.26,1974
5.1,1.11.25,1999
5.1,1.11.24,1575
5.1,1.11.23,12790
5.1,1.11.22,4921
5.1,1.11.21,2489
5.1,1.11.20,9844
5.1,1.11.2,55259
5.1,1.11.19,7
5.1,1.11.18,11516
5.1,1.11.17,23012
5.1,1.11.16,4965
5.1,1.11.15,7684
5.1,1.11.14,1886
5.1,1.11.13,5417
5.1,1.11.12,3245
5.1,1.11.11,3211
5.1,1.11.10,3372
5.1,1.11.1,26452
5.1,1.11,27799
5.1,1.10rc1,319
5.1,1.10b1,1119
5.1,1.10a1,372
5.1,1.10.8,12814
5.1,1.10.7,2233
5.1,1.10.6,3555
5.1,1.10.5,7022
5.1,1.10.4,3784
5.1,1.10.3,4522
5.1,1.10.2,2697
5.1,1.10.1,3754
5.1,1.10,8496
5.1,1.1.4,498
5.1,1.1.3,4450
pre_release,version,downloads_count
5.0,5.0rc1,15279
5.0,5.0b1,41916
5.0,5.0a1,28555
5.0,4.2rc1,2973
5.0,4.2b1,1918
5.0,4.2a1,1230
5.0,4.2.8,34127
5.0,4.2.7,3842103
5.0,4.2.6,3514601
5.0,4.2.5,2865400
5.0,4.2.4,804685
5.0,4.2.3,756565
5.0,4.2.2,364758
5.0,4.2.1,255757
5.0,4.2,430893
5.0,4.1rc1,1012
5.0,4.1b1,1100
5.0,4.1a1,1033
5.0,4.1.9,138242
5.0,4.1.8,32087
5.0,4.1.7,612320
5.0,4.1.6,69329
5.0,4.1.5,134398
5.0,4.1.4,102076
5.0,4.1.3,199456
5.0,4.1.2,98462
5.0,4.1.13,360361
5.0,4.1.12,292278
5.0,4.1.11,237788
5.0,4.1.10,695510
5.0,4.1.1,80830
5.0,4.1,172703
5.0,4.0rc1,673
5.0,4.0b1,704
5.0,4.0a1,821
5.0,4.0.9,12818
5.0,4.0.8,58225
5.0,4.0.7,34029
5.0,4.0.6,168661
5.0,4.0.5,61023
5.0,4.0.4,95487
5.0,4.0.3,88341
5.0,4.0.2,58268
5.0,4.0.10,256959
5.0,4.0.1,53061
5.0,4.0,81477
5.0,3.2rc1,288
5.0,3.2b1,268
5.0,3.2a1,319
5.0,3.2.9,205173
5.0,3.2.8,140492
5.0,3.2.7,83088
5.0,3.2.6,108988
5.0,3.2.5,103758
5.0,3.2.4,99800
5.0,3.2.3,139384
5.0,3.2.23,1443670
5.0,3.2.22,1425723
5.0,3.2.21,1123553
5.0,3.2.20,1261796
5.0,3.2.2,21756
5.0,3.2.19,420086
5.0,3.2.18,313465
5.0,3.2.17,74300
5.0,3.2.16,268677
5.0,3.2.15,284732
5.0,3.2.14,89507
5.0,3.2.13,156294
5.0,3.2.12,144009
5.0,3.2.11,75063
5.0,3.2.10,45460
5.0,3.2.1,12491
5.0,3.2,306310
5.0,3.1rc1,364
5.0,3.1b1,299
5.0,3.1a1,571
5.0,3.1.9,2460
5.0,3.1.8,44651
5.0,3.1.7,69468
5.0,3.1.6,94107
5.0,3.1.5,159827
5.0,3.1.4,42436
5.0,3.1.3,69376
5.0,3.1.2,27780
5.0,3.1.14,192074
5.0,3.1.13,47803
5.0,3.1.12,37470
5.0,3.1.11,6388
5.0,3.1.10,4604
5.0,3.1.1,44892
5.0,3.1,62186
5.0,3.0rc1,254
5.0,3.0b1,310
5.0,3.0a1,839
5.0,3.0.9,107940
5.0,3.0.8,311441
5.0,3.0.7,49839
5.0,3.0.6,25466
5.0,3.0.5,64087
5.0,3.0.4,24614
5.0,3.0.3,33461
5.0,3.0.2,19853
5.0,3.0.14,45532
5.0,3.0.13,2404
5.0,3.0.12,2445
5.0,3.0.11,6495
5.0,3.0.10,8418
5.0,3.0.1,5751
5.0,3.0,111383
5.0,2.2rc1,263
5.0,2.2b1,273
5.0,2.2a1,276
5.0,2.2.9,32921
5.0,2.2.8,18152
5.0,2.2.7,45031
5.0,2.2.6,17339
5.0,2.2.5,22935
5.0,2.2.4,505662
5.0,2.2.3,16251
5.0,2.2.28,2906716
5.0,2.2.27,25537
5.0,2.2.26,11921
5.0,2.2.25,11221
5.0,2.2.24,66940
5.0,2.2.23,3141
5.0,2.2.22,2747
5.0,2.2.21,3431
5.0,2.2.20,13507
5.0,2.2.2,22278
5.0,2.2.19,15042
5.0,2.2.18,6413
5.0,2.2.17,43633
5.0,2.2.16,30226
5.0,2.2.15,26660
5.0,2.2.14,9911
5.0,2.2.13,16460
5.0,2.2.12,16427
5.0,2.2.11,11814
5.0,2.2.10,14615
5.0,2.2.1,29359
5.0,2.2,107427
5.0,2.1rc1,146
5.0,2.1b1,222
5.0,2.1a1,195
5.0,2.1.9,1481
5.0,2.1.8,2789
5.0,2.1.7,19959
5.0,2.1.6,2
5.0,2.1.5,16898
5.0,2.1.4,6971
5.0,2.1.3,5807
5.0,2.1.2,8326
5.0,2.1.15,112159
5.0,2.1.14,854
5.0,2.1.13,1361
5.0,2.1.12,1061
5.0,2.1.11,4261
5.0,2.1.10,2446
5.0,2.1.1,25204
5.0,2.1,20269
5.0,2.0rc1,183
5.0,2.0b1,189
5.0,2.0a1,189
5.0,2.0.9,2156
5.0,2.0.8,3155
5.0,2.0.7,6047
5.0,2.0.6,16394
5.0,2.0.5,4560
5.0,2.0.4,4938
5.0,2.0.3,9602
5.0,2.0.2,7065
5.0,2.0.13,25865
5.0,2.0.12,8105
5.0,2.0.11,2
5.0,2.0.10,1017
5.0,2.0.1,10859
5.0,2.0,466009
5.0,1.9rc2,152
5.0,1.9rc1,123
5.0,1.9b1,155
5.0,1.9a1,154
5.0,1.9.9,1956
5.0,1.9.8,1532
5.0,1.9.7,3773
5.0,1.9.6,11019
5.0,1.9.5,12429
5.0,1.9.4,3561
5.0,1.9.3,1067
5.0,1.9.2,2359
5.0,1.9.13,10156
5.0,1.9.12,1624
5.0,1.9.11,776
5.0,1.9.10,1435
5.0,1.9.1,2263
5.0,1.9,4760
5.0,1.8c1,163
5.0,1.8b2,154
5.0,1.8b1,153
5.0,1.8a1,156
5.0,1.8.9,1055
5.0,1.8.8,1151
5.0,1.8.7,2999
5.0,1.8.6,3932
5.0,1.8.5,1447
5.0,1.8.4,9121
5.0,1.8.3,8956
5.0,1.8.2,4748
5.0,1.8.19,30835
5.0,1.8.18,3872
5.0,1.8.17,2699
5.0,1.8.16,3024
5.0,1.8.15,1115
5.0,1.8.14,3117
5.0,1.8.13,1478
5.0,1.8.12,43446
5.0,1.8.11,2872
5.0,1.8.10,460
5.0,1.8.1,1532
5.0,1.8,15207
5.0,1.7.9,597
5.0,1.7.8,606
5.0,1.7.7,179643
5.0,1.7.6,1395
5.0,1.7.5,419
5.0,1.7.4,2568
5.0,1.7.3,1048
5.0,1.7.2,638
5.0,1.7.11,11549
5.0,1.7.10,2597
5.0,1.7.1,6064
5.0,1.7,5587
5.0,1.6.9,325
5.0,1.6.8,1018
5.0,1.6.7,2385
5.0,1.6.6,1667
5.0,1.6.5,5831
5.0,1.6.4,542
5.0,1.6.3,778
5.0,1.6.2,21856
5.0,1.6.11,15685
5.0,1.6.10,991
5.0,1.6.1,51510
5.0,1.6,3698
5.0,1.5.9,210
5.0,1.5.8,1333
5.0,1.5.7,639
5.0,1.5.6,180
5.0,1.5.5,2039
5.0,1.5.4,2755
5.0,1.5.3,391
